run_id,emb_dim,num_filters,kernel_size,class_weight,dense_units,dropout_rate,epochs,batch_size,accuracy,precision,recall,f1_score
225,32,64,8,TRUE,32,0.5,10,16,0.709677419,0.716845878,0.709677419,0.676993974
226,32,64,8,TRUE,32,0.5,20,16,0.806451613,0.833741948,0.806451613,0.810948524
227,32,64,8,TRUE,32,0.8,10,16,0.419354839,0.616487455,0.419354839,0.433140141
228,32,64,8,TRUE,32,0.8,20,16,0.559139785,0.712340805,0.559139785,0.548515336
229,32,64,8,FALSE,16,0,10,16,0.752688172,0.707963223,0.752688172,0.712633941
230,32,64,8,FALSE,16,0,20,16,0.806451613,0.759916728,0.806451613,0.779339598
231,32,64,8,FALSE,16,0.5,10,16,0.677419355,0.593260706,0.677419355,0.613244328
232,32,64,8,FALSE,16,0.5,20,16,0.698924731,0.566962998,0.698924731,0.620477271
233,32,64,8,FALSE,16,0.8,10,16,0.634408602,0.507461049,0.634408602,0.549311332
234,32,64,8,FALSE,16,0.8,20,16,0.677419355,0.516964157,0.677419355,0.582880109
235,32,64,8,FALSE,32,0,10,16,0.76344086,0.715460958,0.76344086,0.721179051
236,32,64,8,FALSE,32,0,20,16,0.860215054,0.847725306,0.860215054,0.84924514
237,32,64,8,FALSE,32,0.5,10,16,0.698924731,0.601437546,0.698924731,0.634363492
238,32,64,8,FALSE,32,0.5,20,16,0.795698925,0.723721917,0.795698925,0.749118517
239,32,64,8,FALSE,32,0.8,10,16,0.569892473,0.554010629,0.569892473,0.473173849
240,32,64,8,FALSE,32,0.8,20,16,0.64516129,0.515228807,0.64516129,0.56578879
241,32,128,3,TRUE,16,0,10,16,0.623655914,0.6609849,0.623655914,0.584678359
242,32,128,3,TRUE,16,0,20,16,0.752688172,0.866366655,0.752688172,0.775169957
243,32,128,3,TRUE,16,0.5,10,16,0.182795699,0.129620845,0.182795699,0.129400368
244,32,128,3,TRUE,16,0.5,20,16,0.623655914,0.808677971,0.623655914,0.644869587
245,32,128,3,TRUE,16,0.8,10,16,0.505376344,0.440015361,0.505376344,0.450213712
246,32,128,3,TRUE,16,0.8,20,16,0.677419355,0.663571805,0.677419355,0.631241049
247,32,128,3,TRUE,32,0,10,16,0.52688172,0.734991039,0.52688172,0.524357062
248,32,128,3,TRUE,32,0,20,16,0.720430108,0.826349357,0.720430108,0.744307441
249,32,128,3,TRUE,32,0.5,10,16,0.47311828,0.52421915,0.47311828,0.438830774
250,32,128,3,TRUE,32,0.5,20,16,0.666666667,0.724049348,0.666666667,0.649906696
251,32,128,3,TRUE,32,0.8,10,16,0.52688172,0.783637708,0.52688172,0.537799731
252,32,128,3,TRUE,32,0.8,20,16,0.76344086,0.817133961,0.76344086,0.766552848
253,32,128,3,FALSE,16,0,10,16,0.677419355,0.582964174,0.677419355,0.616363027
254,32,128,3,FALSE,16,0,20,16,0.795698925,0.760481033,0.795698925,0.760092385
255,32,128,3,FALSE,16,0.5,10,16,0.64516129,0.581091046,0.64516129,0.571961101
256,32,128,3,FALSE,16,0.5,20,16,0.720430108,0.63775843,0.720430108,0.663554428
257,32,128,3,FALSE,16,0.8,10,16,0.559139785,0.529615072,0.559139785,0.445269171
258,32,128,3,FALSE,16,0.8,20,16,0.677419355,0.553489138,0.677419355,0.592608823
259,32,128,3,FALSE,32,0,10,16,0.709677419,0.638755981,0.709677419,0.655638269
260,32,128,3,FALSE,32,0,20,16,0.795698925,0.795277251,0.795698925,0.779739133
261,32,128,3,FALSE,32,0.5,10,16,0.677419355,0.573099415,0.677419355,0.606033776
262,32,128,3,FALSE,32,0.5,20,16,0.741935484,0.693766938,0.741935484,0.69654296
263,32,128,3,FALSE,32,0.8,10,16,0.612903226,0.502067401,0.612903226,0.547979468
264,32,128,3,FALSE,32,0.8,20,16,0.591397849,0.554514973,0.591397849,0.505977893
265,32,128,8,TRUE,16,0,10,16,0.709677419,0.730064857,0.709677419,0.678457504
266,32,128,8,TRUE,16,0,20,16,0.806451613,0.850896057,0.806451613,0.810547875
267,32,128,8,TRUE,16,0.5,10,16,0.569892473,0.829618131,0.569892473,0.60254114
268,32,128,8,TRUE,16,0.5,20,16,0.806451613,0.819670868,0.806451613,0.802120894
269,32,128,8,TRUE,16,0.8,10,16,0.537634409,0.802730841,0.537634409,0.563205012
270,32,128,8,TRUE,16,0.8,20,16,0.655913978,0.838834346,0.655913978,0.666264355
271,32,128,8,TRUE,32,0,10,16,0.795698925,0.789662328,0.795698925,0.778782642
272,32,128,8,TRUE,32,0,20,16,0.827956989,0.865395707,0.827956989,0.829463215
273,32,128,8,TRUE,32,0.5,10,16,0.741935484,0.805193989,0.741935484,0.707086801
274,32,128,8,TRUE,32,0.5,20,16,0.774193548,0.862440427,0.774193548,0.791364499
275,32,128,8,TRUE,32,0.8,10,16,0.494623656,0.891662771,0.494623656,0.506640238
276,32,128,8,TRUE,32,0.8,20,16,0.64516129,0.780645161,0.64516129,0.622569909
277,32,128,8,FALSE,16,0,10,16,0.806451613,0.807161801,0.806451613,0.787607596
278,32,128,8,FALSE,16,0,20,16,0.860215054,0.882511753,0.860215054,0.859105649
279,32,128,8,FALSE,16,0.5,10,16,0.655913978,0.588434901,0.655913978,0.608225448
280,32,128,8,FALSE,16,0.5,20,16,0.591397849,0.407439698,0.591397849,0.460515667
281,32,128,8,FALSE,16,0.8,10,16,0.655913978,0.529571706,0.655913978,0.574243781
282,32,128,8,FALSE,16,0.8,20,16,0.698924731,0.565707817,0.698924731,0.612892952
283,32,128,8,FALSE,32,0,10,16,0.817204301,0.781959379,0.817204301,0.788695638
284,32,128,8,FALSE,32,0,20,16,0.860215054,0.864752723,0.860215054,0.854999472
285,32,128,8,FALSE,32,0.5,10,16,0.666666667,0.515152133,0.666666667,0.574943017
